date,1. open,2. high,3. low,4. close,5. volume
2000-07-07,145.4375,148.7812,144.2187,148.0937,13182800.0
2000-07-14,147.875,151.25,147.1562,151.25,24828600.0
2000-07-21,150.9843,151.9843,147.6875,147.6875,27173000.0
2000-07-28,148.125,148.8593,141.5156,142.0937,36330200.0
2000-08-04,142.9375,146.7187,142.0625,146.375,24945600.0
2000-08-11,146.7187,149.2187,145.5625,147.4062,22485100.0
2000-08-18,147.7812,150.4375,147.0625,149.6875,24001500.0
2000-08-25,150.0312,151.625,149.2812,151.25,18290300.0
2000-09-01,151.25,153.5937,150.3437,152.5,21099700.0
2000-09-08,151.875,152.2031,149.3281,149.8125,15576700.0
2000-09-15,149.75,151.1875,146.0,146.0,23881000.0
2000-09-22,146.375,146.9687,142.4218,145.2812,31969200.0
2000-09-29,145.9375,146.3281,142.125,143.625,38584900.0
2000-10-06,144.2812,145.75,139.75,141.0625,35595700.0
2000-10-13,141.3125,141.3125,132.7812,137.5625,45074400.0
2000-10-20,137.4062,141.1875,130.1562,139.9062,40528800.0
2000-10-27,139.9375,141.9375,134.0312,139.2812,39287000.0
2000-11-03,138.4375,143.9062,138.1562,142.7812,41242300.0
2000-11-10,143.1562,144.2968,136.5312,136.625,34601900.0
2000-11-17,135.625,140.1093,133.0156,136.6406,47027100.0
2000-11-24,135.75,136.375,132.125,134.8437,22291300.0
2000-12-01,136.4687,136.6875,129.75,132.2187,37031000.0
2000-12-08,131.875,139.4687,131.5,133.9687,45573400.0
2000-12-15,137.375,139.5625,130.5625,130.9687,34242700.0
2000-12-22,132.0625,134.9687,125.5312,130.9375,51360700.0
2000-12-29,130.8437,134.2812,130.2812,131.1875,26652700.0
2001-01-05,132.0,136.0,127.6,129.2,50299500.0
2001-01-12,129.9,133.7,127.7,132.0,35562900.0
2001-01-19,132.0,136.1875,131.5,134.0156,32283100.0
2001-01-26,134.3,137.3,133.6,135.9,33115400.0
2001-02-02,135.5,138.7,134.8,134.8,39997400.0
2001-02-09,134.8,136.7,131.3,131.8,33064600.0
2001-02-16,131.7,134.2,129.3,130.4,33156800.0
2001-02-23,131.0,131.1,121.8,125.0,58125400.0
2001-03-02,125.8,127.8,121.8,123.6,64981000.0
2001-03-09,124.2,127.8,123.1,123.4,28103300.0
2001-03-16,122.3,122.5,114.8,115.0,95968600.0
2001-03-23,115.8,118.5,108.0,114.5,86323000.0
2001-03-30,115.7,118.7,109.3,116.7,55336500.0
2001-04-06,116.3,117.4,109.3,113.3,74750700.0
2001-04-12,114.0,119.0,112.8,118.9,48882300.0
2001-04-20,118.3,126.0,116.9,124.5,72208800.0
2001-04-27,123.7,125.8,121.0,125.8,45387200.0
2001-05-04,126.5,127.7,123.4,127.3,52989600.0
2001-05-11,126.9,127.5,124.4,125.2,38257300.0
2001-05-18,124.9,130.1,124.5,129.7,51124900.0
2001-05-25,129.8,132.1,127.9,128.1,47537600.0
2001-06-01,128.2,128.4,125.0,126.7,37777600.0
2001-06-08,126.8,129.2,126.1,127.0,42347700.0
2001-06-15,126.7,127.0,120.4,121.9,53435600.0
2001-06-22,121.7,124.3,120.9,122.9,52367200.0
2001-06-29,123.3,124.0,120.6,122.6,46614000.0
2001-07-06,122.8,124.3,119.1,119.1,29012600.0
2001-07-13,119.5,122.3,117.1,122.2,54785000.0
2001-07-20,121.8,123.0,119.8,121.3,38884700.0
2001-07-27,121.8,121.9,116.8,120.8,53841000.0
2001-08-03,121.2,123.3,120.3,121.9,54296200.0
2001-08-10,121.4,121.5,117.3,119.3,57891100.0
2001-08-17,119.6,120.4,116.0,116.8,51474500.0
2001-08-24,116.8,119.1,115.8,119.0,57091000.0
2001-08-31,119.0,119.2,112.0,114.2,69335500.0
2001-09-07,113.9,116.2,108.6,108.7,100743000.0
2001-09-10,107.7,110.4,107.7,110.1,23409000.0
2001-09-21,101.0,106.4,93.8,97.28,183191400.0
2001-09-28,101.2,109.9,99.06,104.4,111928300.0
2001-10-05,103.9,109.0,102.8,107.2,134717300.0
2001-10-12,107.3,110.3,105.5,109.5,103315000.0
2001-10-19,108.6,111.2,106.0,107.4,99800000.0
2001-10-26,107.3,111.8,106.7,110.3,101828800.0
2001-11-02,110.2,110.6,105.6,109.3,120459000.0
2001-11-09,110.1,114.1,109.9,112.7,97713500.0
2001-11-16,111.0,115.4,110.0,114.4,96647600.0
2001-11-23,114.9,115.9,113.5,115.7,48094600.0
2001-11-30,115.8,116.9,113.0,114.1,84191600.0
2001-12-07,114.1,118.0,113.0,116.6,94551100.0
2001-12-14,115.9,116.4,112.0,113.1,86629700.0
2001-12-21,113.0,115.9,112.9,115.0,76669300.0
2001-12-28,114.8,116.8,114.6,116.0,36037800.0
2002-01-04,116.2,118.0,113.8,117.6,69156200.0
2002-01-11,117.7,118.0,114.7,114.9,68942500.0
2002-01-18,114.7,115.4,112.67,113.15,84338800.0
2002-01-25,113.8,114.3,112.0,113.6,49103900.0
2002-02-01,113.9,114.2,108.4,112.7,108722800.0
2002-02-08,112.2,112.2,108.0,110.1,130260200.0
2002-02-15,110.1,113.0,109.8,110.9,88379600.0
2002-02-22,110.15,110.6,107.8,109.6,98100900.0
2002-03-01,109.7,113.9,109.7,113.7,118362500.0
2002-03-08,113.9,117.9,113.7,117.0,109353700.0
2002-03-15,116.9,117.9,115.6,116.7,82345400.0
2002-03-22,117.1,117.7,114.1,115.0,94724000.0
2002-03-28,115.1,115.8,113.3,114.5,74015100.0
2002-04-05,115.1,115.1,112.2,112.7,101939500.0
2002-04-12,111.3,113.5,110.0,111.4,89226700.0
2002-04-19,111.6,113.7,110.2,112.9,81552900.0
2002-04-26,112.4,112.4,107.3,107.4,95001200.0
2002-05-03,107.9,109.9,106.6,107.6,95782900.0
2002-05-10,107.6,109.4,104.9,105.72,110090800.0
2002-05-17,106.2,111.3,105.8,110.9,134203800.0
2002-05-24,110.6,110.7,108.0,108.7,72210900.0
2002-05-31,109.1,109.1,105.9,107.2,77022100.0
2002-06-07,107.1,107.6,101.7,103.3,117542100.0
2002-06-14,103.2,104.5,98.5,101.4,129282700.0
2002-06-21,101.9,105.0,98.69,99.28,117421100.0
2002-06-28,98.61,100.9,95.2,98.96,167676200.0
2002-07-05,99.19,99.8,93.73,99.31,103904300.0
2002-07-12,98.98,99.7,90.32,91.85,192677800.0
2002-07-19,91.64,93.3,84.3,84.71,281905200.0
2002-07-26,84.11,85.93,77.68,85.6,377978900.0
2002-08-02,87.51,91.55,85.62,86.79,261777800.0
2002-08-09,86.5,91.94,80.54,91.29,240895900.0
2002-08-16,90.0,94.08,88.02,93.22,214571600.0
2002-08-23,93.46,97.15,93.1,94.6,175557900.0
2002-08-30,94.91,96.25,90.81,91.78,180977000.0
2002-09-06,90.74,91.0,87.5,90.0,225238900.0
2002-09-13,89.1,93.33,88.25,89.67,187188900.0
2002-09-20,89.32,91.19,84.05,84.35,222273800.0
2002-09-27,83.65,85.97,81.85,82.75,289729700.0
2002-10-04,82.0,85.77,79.58,80.8,321320500.0
2002-10-11,80.07,84.73,77.07,84.16,370719100.0
2002-10-18,83.2,89.23,83.04,88.64,293542800.0
2002-10-25,88.12,90.9,87.57,90.2,239951800.0
2002-11-01,91.15,91.29,87.0,90.27,232845100.0
2002-11-08,91.8,93.07,89.52,89.65,239563100.0
2002-11-15,89.52,91.55,87.45,91.4,205418000.0
2002-11-22,92.15,94.27,89.76,93.42,185519200.0
2002-11-29,93.43,94.95,91.62,93.98,133500600.0
2002-12-06,95.47,96.05,89.98,92.03,232937000.0
2002-12-13,91.07,91.62,89.27,89.34,176877500.0
2002-12-20,89.82,91.79,88.6,89.99,174733000.0
2002-12-27,89.59,90.61,87.38,87.38,72805100.0
2003-01-03,87.8,91.39,87.11,91.35,140214000.0
2003-01-10,91.24,93.64,91.05,93.06,190537500.0
2003-01-17,93.54,93.86,90.15,90.66,174286300.0
2003-01-24,90.87,90.92,86.17,86.38,202288400.0
2003-01-31,85.73,87.18,84.15,86.06,262982500.0
2003-02-07,86.14,86.82,82.97,83.42,234269100.0
2003-02-14,83.47,84.37,81.0,84.15,244451500.0
2003-02-21,84.53,85.8,83.46,85.18,160961200.0
2003-02-28,84.93,85.23,82.22,84.9,218427700.0
